N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,Action,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
#,"-0.8309544435461265,1.3991159021723665",#,#,"-0.9307826024116616,2.750461778513055","-3.021186398508016,0.6673889940565629",#,#,"-2.3254479866535696,5.480761452428588",#,0,0.0001939145208876442,447.3138007011866,385.38983248067024,1.1762475622261145e-09,1,133.90406278413724,4999,427,0.4,0.00031160832553618715,780,1888
"-1.5805761328706307,0.2842151128984388",#,#,"-1.1522263678814095,2.772558905028711",#,#,"-0.63670489214139,2.746315092409025","-2.717787236416353,2.8075559316179857","-3.4655671893539464,0.5634358546484348",#,1,8.82890419014531e-06,914.3928892688897,187.48782076174686,4.316529310939558e-08,1,144.19767110658464,4969,431,0.5,0.004514408511339699,1062,1648
#,"0.12580614592918837,2.847050551497081","-1.3282086510378885,1.4660210185682068","-2.8650391915335525,4.352643832706456","-0.8897841606009262,2.958789510365823","-2.117117414167619,2.815085708817577",#,#,#,#,0,0.013633707147439486,986.954277753398,50.82560719176952,2.948404882038981e-05,1,112.00544449960869,4999,440,0.5,6.509875652757006e-06,618,1058
"-1.5805761328706307,0.2842151128984388",#,"0.11967277367182216,4.717575957193949","-2.935693770748367,2.166952753154164",#,"-3.021186398508016,0.6673889940565629",#,"-3.4081294620473215,1.467173333277095","-2.3254479866535696,5.480761452428588","-3.70663807051699,2.715936454190438",1,0.00020434533414574412,861.7272400592486,256.7614359237459,8.960887419259369e-09,1,154.68732182348424,4985,451,0.7,0.0004832086922543779,688,1149
"-1.5805761328706307,0.2842151128984388",#,#,"-2.935693770748367,2.166952753154164",#,"-3.021186398508016,0.6673889940565629",#,"-3.4081294620473215,1.467173333277095","2.6589234233846155,5.480761452428588","-3.70663807051699,2.715936454190438",1,0.2847909501855812,0.0,0.0,1.0,1,95.2,4214,451,0.6,5.7379732560280846e-06,5,13
"0.8364239705343662,2.0174925989979497","-2.9679127467750273,0.5383060065528347","-2.977567737909156,1.4670720061622329",#,"0.3491978499794215,2.8591372006099096",#,#,#,#,"-0.05904769990609915,3.037550731649268",0,0.027452225667168713,1000.0,0.0,1.0,1,156.87152689925875,4952,453,0.5,9.455090609036103e-06,149,202
"0.8364239705343662,2.0174925989979497",#,#,#,"0.3491978499794215,2.8591372006099096","-1.668031071890809,2.4494484360882565",#,#,#,#,0,0.21139152930415941,999.9999999999998,2.2737367560264805e-13,1.0,7,147.21919779395847,4999,453,0.3,6.414041400379811e-05,303,412
"-0.4182848791570907,0.7965285672625948","-0.16747415192637072,2.3444437609055298",#,#,#,#,#,"-0.5443302815317121,6.497773756159112",#,#,1,0.04255220893742525,1.2454966708420916,6.868486159987094,1.0,2,121.74047012452368,4970,479,0.3,1.4675284910731153e-05,118,470
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,#,#,"-2.6891514116357977,0.5634358546484348","-3.70663807051699,2.715936454190438",1,0.09027349375290686,200.13044887973183,160.92381681912386,9.266129736478136e-08,5,128.99523160404004,4969,479,0.3,3.876071736375226e-05,145,549
"-1.3540619077213396,-0.2067380972138586",#,"-3.438409043855395,2.673593986351743",#,#,#,#,"-4.599870145348845,2.704281477850117","-3.8250924556854105,3.7642778323111323","-3.2992259335201406,3.811481575977368",0,6.033832466125737e-05,457.26145243293223,438.93283290023624,6.137756571797199e-10,1,131.48705798263512,4982,482,0.5,0.0013094047863767531,967,2792
"-1.3540619077213396,-0.2067380972138586",#,"-3.438409043855395,2.673593986351743",#,"-1.1537120862215087,3.0295201648293055",#,"-3.11976500375879,0.2632549807916251","-4.599870145348845,2.704281477850117","-3.8250924556854105,3.7642778323111323","-3.2992259335201406,3.811481575977368",0,5.610629371498981e-05,558.2174651849932,423.0258523276285,7.381854047095026e-10,1,132.91536747448248,4982,482,0.7,0.0019478964639403718,564,1658
"-1.7720630163964335,0.6913086943990401","-0.4651447795845649,1.740288544725447","-2.757227967323857,0.38467254141626306","-0.4052416847636229,3.1917058648725876","0.5165371109260288,2.7754825264934686","-2.696280889164232,0.3918287418200668","-1.4668156992831076,0.985873789515943",#,"-0.6742739527914051,2.2530545868644043","-2.3591407007987506,0.7374577307566159",1,0.0018176953060803807,863.4121857693508,185.36314608547622,4.5696510797723716e-08,1,172.88935127244864,4280,485,0.9,1.0420530187535244e-05,65,96
#,#,"-3.726733295122484,1.0244333278503797","-2.935693770748367,2.166952753154164",#,#,#,#,"-2.3254479866535696,5.480761452428588","2.19499086938735,7.126610593716267",1,0.004740605307157526,192.57307955200002,324.7451056810667,2.7687703008414373e-09,1,113.32197031936,4998,501,0.4,6.729609727786529e-06,16,53
#,#,#,"-2.935693770748367,2.166952753154164",#,#,#,#,"-2.3254479866535696,5.480761452428588","2.19499086938735,6.879266544170201",1,0.0037924943063203345,182.26515804160002,317.47229439317334,3.1007792319998946e-09,1,113.39068979609598,4998,501,0.3,6.734787124315932e-06,17,62
"-1.860287494028201,0.26563603720624884","-1.8301833124631424,0.9169197447425943","-3.438409043855395,2.673593986351743",#,"-2.3191614775926137,3.5373636738785263",#,"-3.14379163245686,3.114795338961407",#,"-3.8250924556854105,4.054180511422353",#,0,0.00011970204911556506,494.4829817308913,414.50025830866053,8.172895995969415e-10,1,124.2023372579193,4976,502,0.6,0.0004711275846001945,824,2541
"-1.3540619077213396,-0.2067380972138586",#,#,"-1.9570851872354187,2.141762020489565",#,#,"-0.808362302849295,4.604469672431369","-4.599870145348845,2.704281477850117",#,"-3.2992259335201406,3.811481575977368",0,5.627584600811805e-05,461.78829262279186,439.33622520766943,6.109630263282441e-10,1,131.43081718062155,4982,502,0.5,0.0014031072502622896,756,2223
#,#,#,#,#,#,#,#,#,"-3.70663807051699,2.715936454190438",1,8.471399808019212e-06,678.1991209247374,363.58459425103786,1.573883689053693e-09,2,136.64277012953258,4998,515,0.1,0.011286213120228879,2217,4447
#,"-0.6006973275933458,0.9169197447425943",#,"-1.5483156028510847,2.9687813199478774","-1.9052158480086838,1.0230467277268862","-2.173861242538027,4.259700488679263",#,#,#,#,0,0.0004968463584856064,462.35183521351325,399.47858265715973,9.829524247000353e-10,1,128.65506823660206,4976,537,0.4,0.0001877604428926592,625,1586
"-0.4182848791570907,0.7965285672625948","-0.16747415192637072,2.3444437609055298",#,#,#,"-2.4093699910433277,1.879671163101532",#,"-0.5443302815317121,6.497773756159112",#,#,1,0.0009509115532223445,2.432612180792875,11.955469065824829,0.04094179690645137,1,116.38110212157036,4939,558,0.4,0.00010063396758206412,105,419
"-0.4182848791570907,0.7965285672625948","-0.16747415192637072,2.3444437609055298",#,#,#,#,"1.4770248437980356,4.183440831438368","-0.5443302815317121,6.497773756159112",#,"-4.505623924810259,3.866660723469064",1,0.2373902540749838,0.0,0.0,1.0,2,123.30985607168,4645,558,0.5,1.4864467570251516e-05,15,59
"-0.7697895102747482,0.5462583900132446","0.11592188891091926,3.3081509031347935","-3.385416624081514,0.5994328016376627","-2.066026671642698,3.8731192824077887",#,#,#,"-2.1407542838823854,3.601269008388594",#,#,0,0.0002209522057537401,769.4032130414705,333.5970575100591,2.4204100277272425e-09,1,101.81490027873699,4982,565,0.5,0.00037889184032650214,370,629
"1.0973152549480452,2.0421701577189117","-0.6006973275933458,0.9169197447425943",#,"1.0701257922852183,2.9687813199478774","-1.9052158480086838,1.0230467277268862","-3.8954697441289174,4.259700488679263",#,#,"-6.184901290643735,3.7642778323111323","-3.6771871708368145,4.306976324689091",1,0.04840303781397745,200.0,160.0,9.5367431640625e-08,1,145.01475839999998,3865,576,0.7,8.740449636854767e-06,11,52
"0.7457644104934167,2.129301946693614","-3.0765979479840495,0.7959421676317979","-2.5470715931935533,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,-0.628052705536899","-3.5599827520805927,4.132161658320153",#,#,1,0.0004108559069630112,37.033971317407676,96.09613720995576,1.2203104965442461e-06,2,141.2207674998512,4676,577,0.6,0.0011305018497228952,50,188
"0.7457644104934167,2.129301946693614","-3.0765979479840495,0.7959421676317979","-2.5470715931935533,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,2.8091069024867004","-3.5599827520805927,4.132161658320153",#,"-0.9567471632347617,3.4014284071024212",1,0.008527305618818617,0.6833948436591893,4.4116676824943895,1.0,1,128.33021761702307,4951,577,0.7,7.734825174650656e-06,182,705
"1.1034503496149077,2.790691247420027",#,#,#,#,#,#,#,#,#,0,0.0007214289113497149,985.5184490708583,52.95982647519993,2.400309437796146e-05,3,120.55540831299389,4999,593,0.1,0.0009747783355455531,815,1078
"0.8364239705343662,2.0174925989979497",#,#,#,"0.3491978499794215,2.8591372006099096",#,#,#,#,#,0,0.17764184378149367,999.9999999999998,2.273736754436179e-13,1.0,5,146.43787222072976,4999,597,0.2,4.5520252042928464e-05,322,435
"0.7258853651651965,1.9069539936287798","-1.0417995909752158,2.569082408720642","-2.590787679414203,-0.2918360876531392",#,#,"-3.6993165883111656,2.1337793813258443",#,"-3.348122950635161,1.635519906807576",#,"-0.3917149222551941,3.16363883249356",0,0.03328808383819862,999.9996168761148,0.004827360953690742,1.0,1,136.29829813118957,4986,604,0.6,8.215083923517944e-06,86,115
"-1.3452845581345745,-0.6277190756773812","-2.139148345923748,0.6867593060121407","-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,#,#,#,"-3.8250924556854105,3.7642778323111323",#,0,0.03039443808547971,102.40001347997334,143.36020489559473,1.651417699162761e-07,7,176.22062208487276,4976,622,0.5,7.426700031436008e-05,424,1707
#,#,"-1.3282086510378885,1.4660210185682068","-2.8650391915335525,4.352643832706456","-0.8897841606009262,2.958789510365823","-2.117117414167619,2.815085708817577","-1.592612734671424,1.0292277533551473","-4.599870145348845,2.319085757981988",#,#,0,3.087797774809797e-05,731.2387948360158,363.5823709282681,1.5739318114947006e-09,1,131.22091137208474,4999,640,0.6,0.0017363370966492176,1050,2367
#,"0.12580614592918837,2.847050551497081",#,"-2.8650391915335525,4.352643832706456","-0.8897841606009262,2.958789510365823","-2.117117414167619,2.815085708817577",#,#,#,#,0,0.0022152992087585777,984.7306026246745,59.706901140774804,1.3178844787883866e-05,1,112.98254162769499,4999,640,0.4,6.583491162072934e-06,747,1264
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,#,#,"-5.3533653097582405,0.5634358546484348","-3.70663807051699,2.715936454190438",1,0.02126302572675525,200.08348728303582,160.62463767763933,9.352747180215255e-08,1,128.17223075790434,4969,664,0.3,7.674636302897262e-06,139,537
"-1.5805761328706307,0.2842151128984388","-2.139148345923748,0.6867593060121407",#,"-1.1522263678814095,2.772558905028711",#,#,"-0.63670489214139,2.746315092409025","-2.717787236416353,2.8075559316179857","-3.4655671893539464,4.3406422497282104",#,0,0.00018510872765486677,355.61426185798814,381.0452831017634,1.2448500764882904e-09,1,138.4464731086345,4976,668,0.6,0.0003905665695611271,494,1672
"-1.5805761328706307,0.2842151128984388","-2.139148345923748,0.6867593060121407",#,"-4.210473994750178,2.772558905028711",#,#,"-0.63670489214139,2.746315092409025","-2.717787236416353,2.8075559316179857","-3.4655671893539464,4.3406422497282104",#,1,7.06604843326542e-05,970.7973567587653,80.3378482538073,2.988126797890216e-06,1,145.3268041865271,4969,668,0.6,0.0005798895740850992,1218,1745
"0.7057881186119959,3.2366494653196742",#,#,#,#,"-3.6050951888272045,-0.17386226551131667","-1.9905358583099064,3.083994118515716",#,"-3.0551562106893164,1.8237246887370326","-3.1476527808256054,5.339320698252067",1,0.02056130801829005,0.9047602055804684,5.456771326454761,1.0,2,127.91333894752427,4885,678,0.5,1.5419397436347683e-05,104,414
"-1.5805761328706307,0.1404095828905907","-2.0263811900323385,0.7389942519738115",#,"-1.7025843418057602,4.069261726215136",#,#,#,"-2.093689437498543,1.467173333277095",#,"-3.70663807051699,2.715936454190438",1,7.010369835503313e-05,988.5198252118264,40.2039794562648,9.52039106362366e-05,1,145.63055918327035,4985,697,0.5,0.0006982435507937094,1568,2234
"-1.0501174214842235,0.1404095828905907",#,#,"-2.935693770748367,2.166952753154164",#,#,#,"-3.4081294620473215,1.0481723639327476","-2.3254479866535696,5.480761452428588",#,1,2.3977027018695774e-05,703.8942021915359,321.31909518976414,2.9195594511270076e-09,1,138.51021730135523,4998,697,0.4,0.0013466590364170682,1676,2641
"-1.0501174214842235,0.7965285672625948",#,#,"-2.935693770748367,2.166952753154164",#,"-2.794109594829651,0.6371233284862368",#,"-0.5443302815317121,1.0481723639327476","-2.3254479866535696,5.480761452428588",#,1,0.00021703650862276173,926.4643188992356,177.9133390479479,5.6099300668029774e-08,1,147.21237108349817,4985,715,0.5,0.0003566311158600604,1052,1648
"-0.4182848791570907,0.1404095828905907","-0.16747415192637072,2.3444437609055298",#,#,#,#,#,"-3.4081294620473215,6.497773756159112",#,#,1,0.017331590746285687,7.293872799878285,28.41089884844034,0.0005402255625935884,4,125.92952739169907,4998,715,0.3,3.038109449086618e-05,127,474
"-1.5805761328706307,0.1404095828905907","-2.0263811900323385,0.7389942519738115",#,#,#,#,#,"-3.4081294620473215,1.467173333277095",#,"-3.70663807051699,2.715936454190438",1,1.7515423846667007e-05,988.3616640830727,41.21472169885409,8.408879747976876e-05,1,145.61788119034367,4985,738,0.4,0.005476356066047124,1572,2251
"-1.0501174214842235,0.1404095828905907","-2.0263811900323385,0.7389942519738115",#,"-1.7025843418057602,4.069261726215136",#,#,#,"-2.093689437498543,1.467173333277095","-2.3254479866535696,5.480761452428588",#,1,7.010369835503313e-05,988.5198252118264,40.2039794562648,9.52039106362366e-05,1,145.63055918327035,4985,738,0.5,0.0006982435507937094,1552,2211
"-1.3452845581345745,0.26563603720624884",#,#,"-2.8650391915335525,4.352643832706456",#,"-3.021186398508016,0.6673889940565629",#,#,#,#,0,4.334503785531134e-05,585.6649084682792,434.84757198576295,6.431536705418321e-10,1,118.47587727853052,4982,740,0.3,0.0014218998544758474,917,2391
"1.1034503496149077,2.0174925989979497",#,#,#,#,#,#,#,#,#,0,0.016634653662779983,997.1176962384773,13.258597303141173,0.024406870622013858,26,127.73760560128639,4999,750,0.1,0.00483850732089217,738,964
"0.8364239705343662,2.790691247420027",#,#,#,"0.3491978499794215,2.8591372006099096",#,#,#,#,#,0,0.07029821357601032,958.0551331229533,92.29441827210397,1.4932166228025045e-06,7,140.4487851809365,4999,750,0.2,6.056978472936841e-05,337,454
"0.8364239705343662,2.790691247420027",#,"-3.061629829635324,2.072695391964385",#,"0.3491978499794215,2.8591372006099096",#,#,#,#,#,0,0.012545525574135175,947.5676318807682,104.89399481616401,7.874933087538898e-07,1,139.4103323535905,4999,766,0.3,8.574588278683956e-06,322,437
"-1.3452845581345745,0.26563603720624884","-1.5537361342912224,0.6867593060121407",#,"-2.8650391915335525,4.352643832706456",#,#,#,"-1.5043808918101116,2.070841158094461","-3.8250924556854105,3.7642778323111323",#,0,0.0009691101956638012,376.22931011296544,381.6232693664404,1.2354516703882131e-09,1,138.25854834265044,4965,772,0.5,8.26289134573358e-06,675,2219
"-1.3452845581345745,-0.6277190756773812",#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,#,"-3.14379163245686,3.114795338961407",#,"-3.8250924556854105,4.054180511422353",#,0,0.008065611403015503,102.45961673701859,143.85049859690255,1.6234657931682764e-07,2,176.21378993448658,4976,772,0.5,2.1218113464391825e-05,444,1733
"0.7057881186119959,2.129301946693614","-2.749978066522945,-0.08106528413905045","-2.5470715931935533,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153",#,#,1,0.013099643952176833,0.14037816395105485,1.0605931298335731,1.0,1,129.16787866729186,4951,776,0.6,7.785313375323542e-06,163,623
#,#,#,#,"-2.140126495721561,1.2064593051190904",#,#,"-3.5599827520805927,7.462109910250421",#,"-2.077913364819614,2.6243286979126097",1,4.971238255678232e-05,810.5476072229545,316.28128949931164,3.159602844384703e-09,2,139.86840278584003,4988,792,0.3,0.0030310628626087255,1824,3539
#,"-2.139148345923748,0.7389942519738115",#,#,#,"-1.5496440072422861,2.9967396161512654","-3.14379163245686,3.114795338961407",#,"-3.8250924556854105,4.054180511422353","-3.279693683124036,3.486947333978432",0,5.9463099616275464e-05,678.219353130411,403.2406172909289,9.37947749075002e-10,1,119.76583589476425,4976,803,0.5,0.0008870554502757389,1338,3103
"1.1034503496149077,2.790691247420027","-0.8309544435461265,0.6867593060121407","-1.3282086510378885,2.673593986351743",#,#,#,#,"-1.5043808918101116,2.070841158094461",#,#,0,0.00588886998569917,865.4689005316611,216.2279385973822,2.115636056295748e-08,1,117.76954147682696,4936,803,0.4,7.09830335471348e-06,210,264
"0.7457644104934167,3.2366494653196742","-3.0765979479840495,0.7959421676317979",#,#,#,"-3.6050951888272045,-0.17386226551131667",#,#,"-3.0551562106893164,0.32544716857675837",#,1,2.1592108620612114e-05,6.057046639943762,27.529243130073006,0.0006324535624229066,1,133.97563314333212,4885,815,0.4,0.005101912612856861,68,250
"-1.3452845581345745,-0.6277190756773812",#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,"-2.9638189701075666,2.95505782261234","-3.14379163245686,3.114795338961407",#,"-3.8250924556854105,4.054180511422353",#,0,0.004032805701507752,102.45961673701859,143.85049859690255,1.6234657931682764e-07,1,176.21378993448658,4976,817,0.6,1.0609056732195913e-05,441,1715
#,"0.11592188891091926,5.6566268416007475","-3.385416624081514,0.5994328016376627",#,"-2.6571428822818106,0.27111969345375964",#,"-1.640418211986042,0.6431202775854881","-2.1407542838823854,3.601269008388594",#,#,0,0.00035259202150512997,836.1038306762389,265.39338922824464,7.595379823961548e-09,1,102.23329589305732,4986,818,0.5,0.00023840871953759345,248,390
"1.1034503496149077,2.0174925989979497",#,"-3.039725554132545,1.8647045082910567",#,#,#,#,#,#,#,0,0.00040623422847524816,996.3971202980825,15.852670688927361,0.009988213338711693,1,127.60431517409476,4999,832,0.2,0.00025486365772219293,700,915
#,"-0.6255433318833837,0.22387860687957295",#,"-3.397406509691031,2.8757458811901504","-2.140126495721561,1.2064593051190904","-2.9030375652035745,1.6970309627683529",#,"-1.6381447200691852,4.132161658320153",#,#,1,0.00041690992486082364,991.4050456759694,34.40428137467742,0.0002074615152789792,2,145.87443066326463,4985,839,0.5,0.0007157236169959058,737,1131
"-0.7697895102747482,-0.6277190756773812","-2.139148345923748,0.6867593060121407",#,"-2.8650391915335525,3.8731192824077887","-2.6571428822818106,0.27111969345375964",#,#,#,"-3.8250924556854105,3.7642778323111323",#,0,0.0001281502347995618,17.394953708631707,52.989790827592145,2.39353054504038e-05,1,203.19935952074485,4788,851,0.5,0.0013037826046154487,102,397
"-1.3452845581345745,0.5462583900132446",#,"-1.3282086510378885,2.673593986351743","-2.066026671642698,4.352643832706456",#,"0.594681864269732,3.4254490260053396",#,#,#,#,0,6.347112315699388e-05,635.7204626396209,423.1351458886843,7.372325502222475e-10,1,126.85226820792555,4965,851,0.4,0.0013557348554443952,248,607
"-1.0650290182907574,0.6897015154265664",#,"-2.8702643947255506,1.5743753493458383",#,#,"0.4561555762480214,1.6970309627683529","-2.688300572407724,2.8091069024867004",#,"-2.892314844190147,2.637083508493048",#,1,0.003211028106447475,791.3465611023777,192.17891654344575,3.81479580993055e-08,1,138.02013700717177,4998,864,0.5,8.176398769561545e-06,455,718
"0.7057881186119959,2.129301946693614",#,"-4.111208720399128,2.2040950297793107","-3.3143499019047233,2.8757458811901504","-2.140126495721561,1.2064593051190904",#,"-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153",#,#,1,0.020690414053574156,0.48578274770292096,3.3295282031212983,1.0,2,124.95925648098094,4988,871,0.6,1.5063295625651737e-05,197,851
"-0.6277190756773812,0.31713582709348553",#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,4.352643832706456",#,#,#,"-4.599870145348845,1.7344319364713225",#,#,0,0.0008470006081844037,798.7186101178102,290.78838501351777,4.809663831069082e-09,1,100.01463207857508,4982,886,0.4,7.554049431654935e-05,554,910
"-1.5805761328706307,0.2842151128984388",#,"-3.643153513176057,1.8743303070504949","-4.210473994750178,1.2033403561227267",#,#,"-0.63670489214139,2.746315092409025","-1.6381447200691852,2.8075559316179857",#,#,1,3.42558142139946e-06,893.7619622612025,216.1069127625977,2.1215667681720047e-08,1,143.61161583886823,4970,893,0.5,0.00940270968452995,1229,1905
#,#,#,#,"0.3491978499794215,2.8591372006099096",#,"-3.387746813393782,-0.68133082575345",#,#,#,0,0.0002493904076797227,580.2488659456992,392.359540170931,1.0754219973569793e-09,1,145.0663824207325,4901,917,0.2,0.0004782877850851094,175,345
