N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,Action,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"-1.7720630163964335,0.6913086943990401","-0.4651447795845649,1.740288544725447","-2.757227967323857,0.38467254141626306","-0.4052416847636229,3.1917058648725876","0.5165371109260288,2.7754825264934686","-2.696280889164232,0.3918287418200668",#,#,"-0.6742739527914051,2.2530545868644043",#,1,0.0009378825280692882,930.944393560062,133.82031879749607,2.330181227849839e-07,1,171.05000070777766,4436,308,0.7,0.0001499605030813699,103,166
#,#,#,#,#,"-3.8954697441289174,1.6970309627683529",#,#,"-3.8250924556854105,3.7642778323111323",#,0,8.46340494588927e-05,776.2735965194629,333.0856778199156,2.4390471987701815e-09,1,118.91277259835593,4999,329,0.2,0.0005683156333821206,2214,4489
"-0.4182848791570907,0.7965285672625948",#,#,#,#,#,#,"-0.5443302815317121,6.497773756159112","-2.6891514116357977,0.5634358546484348","-3.70663807051699,2.715936454190438",1,0.007561748310421105,201.24549655302738,166.37028523910064,7.84551024723945e-08,1,133.30932272057558,4969,333,0.4,8.13000010303002e-06,112,411
#,"-0.16747415192637072,2.3444437609055298",#,#,#,#,#,#,"-2.3644589537274987,0.5634358546484348",#,1,3.5759078479989993e-06,667.7893104248221,394.49169908082297,1.0466721150506856e-09,2,135.29143538016444,4988,333,0.2,0.06746975532926294,676,1533
"0.7457644104934167,3.2366494653196742","-3.0765979479840495,0.7959421676317979",#,#,#,"-3.6050951888272045,-0.17386226551131667",#,#,"-3.0551562106893164,1.8237246887370326",#,1,0.00362472786864931,1.6822271028483058,9.503866713996672,1.0,1,131.72415621779825,4885,336,0.4,7.939387453262519e-06,102,368
"0.7057881186119959,2.129301946693614",#,"-2.5470715931935533,2.2040950297793107","-3.3143499019047233,2.8757458811901504",#,#,"-2.688300572407724,3.083994118515716","-3.5599827520805927,4.132161658320153",#,#,1,0.1087596360284044,0.07493042550592935,0.6344527578755527,1.0,8,123.9166543618168,4988,336,0.5,5.9750457874334505e-05,275,1137
"1.0973152549480452,2.0421701577189117",#,"-0.2473932295064094,3.507561037036661",#,#,"-3.8954697441289174,4.259700488679263",#,#,"-6.184901290643735,3.7642778323111323","-3.6771871708368145,4.306976324689091",0,0.0012661687323584302,978.5251541077743,60.12969570259567,1.272198765691434e-05,1,114.32997871000626,4999,341,0.5,6.685008466989984e-06,442,571
#,"-1.8301833124631424,0.9169197447425943","-1.7844629816357795,1.0509106482028654",#,#,#,"-0.808362302849295,4.604469672431369",#,"0.5847540940525053,4.054180511422353",#,0,0.000662036061019759,372.67020668536884,405.7309595309538,9.095137303631114e-10,2,107.7992330929633,4853,346,0.4,0.000535545371547894,268,574
"-0.6277190756773812,0.16469602493546215",#,"-1.3282086510378885,2.673593986351743","-2.8650391915335525,1.5401595747601258",#,"-3.003130972594666,0.17075948147252973",#,"-4.599870145348845,2.658914016578619","-2.576222742442859,2.0858190058978736",#,1,0.00041383049637232975,98.19466080876639,224.41131059476655,1.7570183189851907e-08,2,119.30049059752591,4970,346,0.6,0.0007367530448582504,236,571
#,"-0.8511438947395449,1.3991159021723665",#,#,"-0.9307826024116616,2.750461778513055",#,#,#,"-2.3254479866535696,5.480761452428588",#,0,7.160618133137834e-05,592.6533059366628,426.91871296022885,7.051378751259956e-10,1,131.35008547983722,4999,350,0.3,0.0008145297984635928,1073,2505
